,dates,CA,TX,WI
455,2012-04-28,0.0,0.15000000000000002,5.5
456,2012-04-29,0.1,1.5,4.3
457,2012-04-30,0.4,3.75,5.1
458,2012-05-01,0.65,11.2,0.8
459,2012-05-02,0.8,0.65,2.4
460,2012-05-03,0.6,0.2,19.4
461,2012-05-04,0.0,0.25,1.95
462,2012-05-05,0.0,0.25,2.5500000000000003
463,2012-05-06,0.05,9.6,10.05
464,2012-05-07,0.05,3.7,14.1
465,2012-05-08,0.0,4.3,3.5999999999999996
466,2012-05-09,0.0,0.7,3.2
467,2012-05-10,0.0,4.5,0.0
468,2012-05-11,0.0,27.25,2.15
469,2012-05-12,0.1,3.35,3.65
470,2012-05-13,0.0,2.6,0.0
471,2012-05-14,0.0,8.75,0.0
472,2012-05-15,0.0,18.25,1.9000000000000001
473,2012-05-16,0.0,0.2,1.3
474,2012-05-17,0.0,0.1,0.1
475,2012-05-18,0.05,0.0,0.0
476,2012-05-19,0.0,0.44999999999999996,3.9
477,2012-05-20,0.0,0.0,7.35
478,2012-05-21,0.0,1.6,2.55
479,2012-05-22,0.0,2.9499999999999997,0.05
480,2012-05-23,0.1,0.0,0.75
481,2012-05-24,0.25,0.15,33.55
482,2012-05-25,1.1500000000000001,0.15,0.45
483,2012-05-26,0.1,0.5,20.200000000000003
484,2012-05-27,0.0,0.25,11.5
485,2012-05-28,0.0,0.6499999999999999,9.05
486,2012-05-29,0.0,3.6999999999999997,4.75
487,2012-05-30,0.05,3.9,0.6000000000000001
488,2012-05-31,0.2,15.65,4.75
489,2012-06-01,0.05,0.0,0.85
490,2012-06-02,0.0,0.7000000000000001,1.05
491,2012-06-03,0.0,0.15,0.15000000000000002
492,2012-06-04,0.0,2.95,0.45
493,2012-06-05,0.1,6.4,1.35
494,2012-06-06,0.0,10.549999999999999,4.25
495,2012-06-07,0.0,38.800000000000004,1.6
496,2012-06-08,0.0,7.95,5.7
497,2012-06-09,0.05,1.0,1.35
498,2012-06-10,0.1,0.05,1.7
499,2012-06-11,0.15,0.6,16.0
500,2012-06-12,0.05,11.25,0.15000000000000002
501,2012-06-13,0.05,15.6,0.05
502,2012-06-14,0.15,6.0,20.85
503,2012-06-15,0.25,4.95,20.25
504,2012-06-16,0.2,3.65,21.0
505,2012-06-17,0.0,10.45,9.5
506,2012-06-18,0.0,0.75,18.7
507,2012-06-19,0.25,1.9,9.2
508,2012-06-20,0.2,5.949999999999999,34.7
509,2012-06-21,0.1,3.3,6.05
510,2012-06-22,0.05,0.6,1.15
511,2012-06-23,0.0,0.05,1.4
512,2012-06-24,0.0,0.15,0.8500000000000001
513,2012-06-25,0.0,0.0,0.0
514,2012-06-26,0.0,0.0,0.0
515,2012-06-27,0.0,0.15,0.05
516,2012-06-28,0.0,1.5,2.75
517,2012-06-29,0.0,2.9,0.7
